item_name,item_description,item_price,item_category,item_vegan,item_glutenfree
Carciofo, Menta e Pecorino","Cabbage, celery, carrots, green onions and Chinese noodles in a crispy wonton wrapper.,8,Antipasti,TRUE,FALSE
Il Panino della Pista,Fresh cauliflower prepared with fresh herbs and chili peppers.,10,Antipasti,TRUE,TRUE
Anatra Laccata e Camomilla di Finocchi,Grilled tofu prepared with fresh herbs and chili peppers.,10,Antipasti,TRUE,TRUE
Trota Panata ma non Fritta,Crispy cauliflower in savory Manchurian sauce.,13,Antipasti,TRUE,FALSE
Sweet & Sour Vegetable,Fresh vegetables mixed with pineapples in a sweet and source sauce.,13,Primi,TRUE,TRUE
Manchurian Vegetable,Round vegetable dumpling balls in a savory Manchurian sauce.,13,Primi,TRUE,FALSE
Lollipop Chicken Wings,,9,Primi,TRUE,FALSE
Chilli Chicken,Tender pieces of chicken prepared with fresh herbs and chili peppers.,13,Primi,FALSE,TRUE
Hot Garlic Chicken,Sauteed chicken breast in a spicy garlic sauce.,13,Primi,FALSE,FALSE
Broccoli Chicken,Sliced chicken and broccoli in a tasty garlic sauce.,13,Primi,FALSE,TRUE
Sweet & Sour Chicken,Diced chicken breast lightly stir-fried with a tangy sweet and spice sauce,13,Secondi,FALSE,FALSE
Manchurian Chicken,Tender pieces of chicken in a savory Manchurian sauce.,13,Secondi,FALSE,FALSE
Basil Ginger Chicken,Stir-fried sliced chicken breast with basil and garlic sauce.,13,Secondi,FALSE,TRUE
Hot Garlic Shrimp,Large gourmet shrimp in a spicy garlic sauce.,16,Secondi,FALSE,FALSE
Schezwan Shrimp,Gourmet shrimp sauteed with fresh vegetables in a savory schezwan sauce.,16,Secondi,FALSE,FALSE
White Basmati Rice,,4,Secondi,TRUE,TRUE
Brown Basmati Rice,,5,Secondi,TRUE,TRUE
Vegetable Fried Rice,"Basmati rice stir-fried and seasoned to perfection with fresh carrots, scallions and other vegetables.",12,Secondi,TRUE,TRUE
Chicken Fried Rice,Basmati rice stir-fried and seasoned to perfection with shredded piece of tender chicken.,13,Secondi,FALSE,TRUE
Shrimp Fried Rice,"Basmati rice stir-friend with gourmet baby shrimp, fresh carrots, scallions and other vegetables.",16,Contorni,FALSE,TRUE
Vegetable Hakka Noodles,Hakka style noodles with fresh vegetables.,12,Contorni,TRUE,FALSE
Chicken Hakka Noodles,Hakka style noodles with tender pieces of chicken.,13,Contorni,FALSE,FALSE
Chilli Garlic Noodles,Hakka style noodles with garlic and fresh chillis and spices.,13,Contorni,FALSE,FALSE
Mango Lassi,Traditional cold and refreshing yogurt based drink made with mango pulp.,5,Dolci,FALSE,TRUE
Poland Spring Water,,2,Dolci,TRUE,TRUE
Soda,,2,Dolci,TRUE,TRUE
